Edge,TimeStartEdge,Distance,Accidents
441303,11.15,42,0
7192,11.40,25,0
421605,21.12,68,0
250239,21.32,313,0
240417,21.40,224,0
180188,19.15,60,0
279073,17.15,15,0
222257,1.07,476,0
191472,8.20,172,1
191479,8.20,222,0
438329,8.23,344,0
438331,8.27,966,1
96183,8.40,115,1
96253,8.45,163,0
96183,17.12,115,1
438331,17.23,966,1
191472,17.32,172,1
191537,17.45,1026,0
10799,9.10,156,0
415285,9.15,228,0
142205,9.38,1875,0
142206,9.42,551,0
12243,9.48,55,0
66921,17.17,77,0
59198,17.23,1982,0
13124,17.27,1057,0
356117,17.32,114,0
27217,10.15,7179,0
26386,10.33,5750,0
56159,10.50,180,0
286345,10.52,4144,0
401335,20.10,4848,0
401337,20.15,4115,0
48801,20.23,1901,0
30081,20.28,357,0
140237,20.32,5422,0
19778,20.38,3371,0
168,20.47,7265,0
38581,20.62,590,0
274087,18.08,95,0
13567,7.08,22,0
469344,12.47,139,0
240228,12.58,1123,0
5885,12.68,337,0
394090,21.18,291,1
394096,21.18,632,0
395408,16.10,90,0
390795,3.15,170,0
390795,15.03,170,0
411698,10.05,31,0
180172,18.10,7,0
140119,8.37,58,0
329122,8.62,1310,0
244993,15.05,13,0
275773,15.60,170,0
442348,15.67,199,0
242051,15.68,201,0
69708,17.07,492,0
271373,13.03,198,0
241113,13.05,138,1
297051,13.07,112,0
139840,13.10,115,0
276394,21.07,22,0
241113,21.10,138,1
274379,15.00,248,0
20328,16.00,99,0
7850,16.10,482,0
328366,16.30,377,0
33410,9.10,334,0
209052,19.07,52,0
390795,19.20,170,0
427233,19.32,89,0
240265,10.00,204,0
174038,10.28,79,0
5175,10.02,239,0
29907,10.10,346,0
33593,10.17,9,0
401090,17.00,73,0
457087,17.12,47,0
339645,17.13,23,0
9131,17.13,93,0
392831,17.20,120,0
461326,17.27,57,1
12081,17.33,221,0
244230,17.30,142,0
14293,2.15,42,1
251218,2.28,469,0
253644,8.20,295,0
187961,8.08,155,0
187954,8.08,2095,0
6238,8.22,637,0
6894,8.38,1763,0
370993,8.55,385,0
159417,20.20,2643,0
120002,20.33,1839,1
341524,21.00,161,0
64312,21.13,66,0
64455,11.43,60,0
64311,11.45,421,0
443152,11.48,280,0
309141,16.23,154,0
6478,16.28,1462,0
246685,16.28,498,0
394094,1.25,628,0
450730,1.32,226,0
5201,1.33,314,0
417519,1.05,91,0
148732,1.23,1005,0
102273,1.35,259,0
400776,1.42,135,0
181341,17.08,128,0
8138,17.12,114,0
96807,17.22,61,0
266048,7.15,87,0
327468,7.27,1149,0
180445,7.38,352,0
38579,7.40,84,0
312963,15.15,2334,0
309082,15.27,292,0
182279,13.05,123,0
48179,13.12,52,0
404650,13.35,46,0
404648,22.02,53,0
286356,22.07,221,0
180216,22.12,110,0
180199,22.17,140,0
180144,22.23,72,0
374015,11.17,182,0
10553,11.23,215,0
118949,11.40,83,0
376303,23.05,219,0
76643,23.33,63,0
427226,10.02,88,0
427224,10.03,47,0
262144,18.08,70,0
6627,18.23,96,0
177740,7.02,9,0
10467,9.13,71,0
91417,9.13,191,0
118682,16.00,24,0
182943,11.10,148,0
111865,19.18,82,0
22804,19.20,440,0
211270,20.02,157,0
166934,8.07,48,1
166934,16.00,48,1
52145,14.12,133,0
54095,14.23,2130,0
8231,14.37,467,0
55597,14.37,737,0
376011,22.38,784,0
122398,22.50,1470,0
11331,22.52,409,0
52159,22.67,291,0
239706,7.10,62,0
421629,7.17,91,0
168,8.17,7265,0
312963,8.27,2334,0
328997,14.15,295,0
27217,14.25,7179,0
181350,7.08,81,0
181312,7.10,23,0
391926,7.28,202,0
184765,16.03,515,0
414726,16.22,130,0
258668,9.02,250,0
461738,9.32,121,0
181323,15.15,98,0
323456,10.12,206,1
241378,10.13,616,0
168,10.15,7265,0
391246,10.40,295,0
300850,16.02,55,0
271812,16.07,169,0
278763,16.12,109,0
323456,16.38,206,1
456859,10.03,22,0
179651,10.12,552,0
243538,21.18,64,0
64713,7.10,63,0
11153,7.15,43,0
279303,7.20,36,0
7560,11.13,158,0
468810,11.15,170,0
421538,11.20,27,0
366976,9.38,981,0
197565,9.53,267,0
76815,14.02,47,0
366977,14.28,1020,0
366978,14.30,1105,0
364942,14.45,27,0
184062,14.48,84,0
335380,8.30,90,1
10790,8.32,706,0
335380,17.10,90,1
7775,17.12,87,0
6274,9.12,69,0
180159,9.25,46,0
379453,15.25,10,0
442071,15.40,236,0
378594,9.13,13,0
322885,9.17,286,0
241923,20.23,51,0
463263,17.07,263,0
2589,17.12,64,0
120002,17.17,1839,0
246682,17.23,1951,0
23783,1.02,190,0
299937,1.10,156,0
261595,10.03,190,0
241163,10.05,97,0
146159,10.13,80,0
96803,18.13,517,0
416660,9.05,238,0
17449,9.37,132,0
28025,9.45,791,0
53655,9.57,1944,0
275946,15.12,353,0
4746,15.25,212,0
5894,15.33,328,0
181328,10.07,244,0
393317,11.08,396,0
59200,11.12,202,0
2563,11.25,323,0
350678,11.38,372,0
10782,11.45,603,0
270944,22.00,1816,0
220637,22.07,1834,0
403247,22.28,403,0
120002,22.40,1839,0
172987,22.48,232,0
2590,22.53,612,0
150592,22.58,435,0
2598,22.62,12,0
178161,7.05,459,0
14116,18.38,31,0
346394,9.12,314,0
64310,9.32,237,1
417517,18.28,121,0
258065,9.15,57,0
244230,9.27,142,0
432501,16.05,75,0
377970,16.17,904,0
397711,9.23,24,0
416642,9.28,232,0
209175,21.15,119,0
405003,7.07,35,0
53014,18.12,290,0
22096,18.12,25,0
345747,11.03,1980,0
7850,11.17,482,0
239539,11.40,16,0
365791,19.05,51,0
428274,19.13,66,0
69945,19.27,277,0
345747,19.35,1980,0
420137,9.15,7,0
181383,9.20,34,0
261821,18.08,131,0
441302,18.13,38,0
209056,18.18,50,0
462635,18.30,24,0
255484,10.25,92,0
329999,9.18,77,0
260825,9.22,132,0
299115,17.10,155,0
216398,20.07,115,0
181307,11.17,66,0
259268,17.00,180,0
253643,17.12,141,0
350695,17.08,13,0
417767,20.02,53,0
278030,20.12,361,0
260381,8.27,254,0
399697,12.15,67,0
260381,12.43,254,0
392973,12.48,379,0
457705,10.00,42,0
404580,10.08,473,0
275787,10.17,55,0
109939,19.12,31,0
252068,9.05,1206,0
12473,14.23,476,0
13124,14.23,1057,0
204188,9.07,228,0
341394,11.05,179,0
2211,11.13,1803,0
120003,11.23,163,0
9730,11.32,310,0
132876,11.43,376,0
59198,19.30,1982,0
6894,19.45,1763,0
192369,19.47,1291,0
390140,19.10,95,0
447079,10.17,56,0
392511,18.02,46,0
393442,11.05,131,0
12210,19.18,129,0
345840,19.20,62,0
209177,9.02,139,0
402,18.07,167,0
15901,18.08,92,0
83708,7.23,1914,0
119997,7.25,998,0
6894,7.28,1763,0
361923,7.35,2786,0
269874,7.42,128,0
395450,17.50,183,0
240536,10.08,252,0
322882,9.03,105,0
185191,11.00,52,0
266464,11.03,107,0
302670,20.07,17,0
443827,8.12,72,0
183988,20.02,476,0
182464,20.07,140,0
182467,20.08,77,0
386783,20.13,93,0
12938,20.30,178,0
1453,20.40,108,0
19654,15.02,224,0
210087,9.08,44,0
6894,9.12,1763,0
361923,9.18,2786,0
166276,9.25,227,0
15145,15.00,18,0
2338,15.10,2402,0
361916,15.23,1160,0
336861,9.07,149,0
114380,9.08,120,0
115327,14.08,138,0
248884,18.03,54,0
383072,18.05,40,0
394496,16.08,32,0
173278,9.35,946,0
118956,9.43,166,0
449578,16.03,256,0
376301,16.05,72,0
18931,16.07,559,0
394098,16.25,974,0
